2025-11-13 09:15:21 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 10:47:08 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":57,"OrderNumber":"55543559-e55b-43c6-b71c-c40eeadb2d55","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":230083,"Discount":0,"TotalAmount":230083,"PromotionId":null,"Note":"momo tesr\n","CreatedAt":"2025-11-13T03:47:08.489Z","UpdatedAt":"2025-11-13T03:47:08.489Z"}
2025-11-13 10:47:08 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":57,"ProductId":46,"Quantity":1,"UnitPrice":230083,"TotalPrice":230083,"CreatedAt":"2025-11-13T03:47:08.489Z"}]
2025-11-13 10:47:08 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":46,"Quantity":1}]
2025-11-13 10:47:08 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":57,"Amount":230083}
2025-11-13 10:53:38 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 10:54:13 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":58,"OrderNumber":"093ef3ce-24e6-4ac3-916c-c7636303bd88","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":43415,"Discount":0,"TotalAmount":43415,"PromotionId":null,"Note":"m\u00F4m test","CreatedAt":"2025-11-13T03:54:13.617Z","UpdatedAt":"2025-11-13T03:54:13.617Z"}
2025-11-13 10:54:13 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":58,"ProductId":48,"Quantity":1,"UnitPrice":43415,"TotalPrice":43415,"CreatedAt":"2025-11-13T03:54:13.617Z"}]
2025-11-13 10:54:13 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":48,"Quantity":1}]
2025-11-13 10:54:13 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":58,"Amount":43415,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 11:00:49 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 11:01:17 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":59,"OrderNumber":"52abc035-02c0-4ff5-a43f-7c14ee97dd2c","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":350911,"Discount":0,"TotalAmount":350911,"PromotionId":null,"Note":"mo mo test","CreatedAt":"2025-11-13T04:01:17.850Z","UpdatedAt":"2025-11-13T04:01:17.850Z"}
2025-11-13 11:01:17 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":59,"ProductId":44,"Quantity":1,"UnitPrice":350911,"TotalPrice":350911,"CreatedAt":"2025-11-13T04:01:17.850Z"}]
2025-11-13 11:01:18 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":44,"Quantity":1}]
2025-11-13 11:01:18 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":59,"Amount":350911,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 11:06:35 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 11:06:56 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":60,"OrderNumber":"bd9b038e-c20b-458f-b3a4-f82ce87660c7","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"mo mo test","CreatedAt":"2025-11-13T04:06:56.291Z","UpdatedAt":"2025-11-13T04:06:56.291Z"}
2025-11-13 11:06:56 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":60,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-13T04:06:56.292Z"}]
2025-11-13 11:06:56 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-13 11:06:56 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":60,"Amount":26616,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 11:12:54 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 11:13:35 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":61,"OrderNumber":"a4fa03df-0225-4f86-ab90-e5aec7fc5770","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":230083,"Discount":0,"TotalAmount":230083,"PromotionId":null,"Note":"MOMO MOMO","CreatedAt":"2025-11-13T04:13:35.975Z","UpdatedAt":"2025-11-13T04:13:35.975Z"}
2025-11-13 11:13:36 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":61,"ProductId":46,"Quantity":1,"UnitPrice":230083,"TotalPrice":230083,"CreatedAt":"2025-11-13T04:13:35.975Z"}]
2025-11-13 11:13:36 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":46,"Quantity":1}]
2025-11-13 11:13:36 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":61,"Amount":230083,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 21:18:16 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 21:18:33 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":62,"OrderNumber":"4e780797-9943-411d-88f4-768aabf09ddc","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":407779,"Discount":0,"TotalAmount":407779,"PromotionId":null,"Note":"momo","CreatedAt":"2025-11-13T14:18:33.096Z","UpdatedAt":"2025-11-13T14:18:33.097Z"}
2025-11-13 21:18:33 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":62,"ProductId":45,"Quantity":1,"UnitPrice":407779,"TotalPrice":407779,"CreatedAt":"2025-11-13T14:18:33.097Z"}]
2025-11-13 21:18:33 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":45,"Quantity":1}]
2025-11-13 21:18:33 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":62,"Amount":407779,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 21:33:39 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 21:34:07 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":63,"OrderNumber":"1039f474-63a4-41d2-bf82-678f05e0e125","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":15130,"Discount":0,"TotalAmount":15130,"PromotionId":null,"Note":"Momo","CreatedAt":"2025-11-13T14:34:07.142Z","UpdatedAt":"2025-11-13T14:34:07.142Z"}
2025-11-13 21:34:07 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":63,"ProductId":47,"Quantity":1,"UnitPrice":15130,"TotalPrice":15130,"CreatedAt":"2025-11-13T14:34:07.142Z"}]
2025-11-13 21:34:07 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":47,"Quantity":1}]
2025-11-13 21:34:07 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":63,"Amount":15130,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 21:47:14 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 21:47:42 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":64,"OrderNumber":"3dbc2caf-18ff-46dc-bef4-ebee7832f383","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":15130,"Discount":0,"TotalAmount":15130,"PromotionId":null,"Note":"MOMO","CreatedAt":"2025-11-13T14:47:41.992Z","UpdatedAt":"2025-11-13T14:47:41.993Z"}
2025-11-13 21:47:42 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":64,"ProductId":47,"Quantity":1,"UnitPrice":15130,"TotalPrice":15130,"CreatedAt":"2025-11-13T14:47:41.993Z"}]
2025-11-13 21:47:42 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":64,"OrderNumber":"3dbc2caf-18ff-46dc-bef4-ebee7832f383","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":15130,"Discount":0,"TotalAmount":15130,"PromotionId":null,"Note":"MOMO","CreatedAt":"2025-11-13T14:47:42.366Z","UpdatedAt":"2025-11-13T14:47:42.366Z"}
2025-11-13 21:47:42 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":47,"Quantity":1}]
2025-11-13 21:47:49 | User:anonymous | Action:CREATE_Payment | Entity:Payment#offlinepayment | IP:::1 | Payload:{"OrderId":64,"Amount":15130,"TransactionRef":null,"Status":"completed","CreatedAt":"2025-11-13T14:47:49.847Z"}
2025-11-13 21:49:02 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-13 21:49:21 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":65,"OrderNumber":"d5bd7ff4-1c48-4adf-81e8-c037739d7af5","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"m\u00F4m","CreatedAt":"2025-11-13T14:49:21.200Z","UpdatedAt":"2025-11-13T14:49:21.200Z"}
2025-11-13 21:49:21 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":65,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-13T14:49:21.201Z"}]
2025-11-13 21:49:21 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-13 21:49:21 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":65,"Amount":26616,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-13 21:53:00 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"partnerCode":"MOMO","orderId":"order_62","requestId":"req_test123","amount":"407779","orderInfo":"Thanh to\u00E1n \u0111\u01A1n h\u00E0ng 62","orderType":"momo_wallet","transId":123456,"resultCode":0,"message":"Success","payType":"qr","extraData":"","signature":"chu_ky_tao_theo_secretKey"}
2025-11-21 15:26:24 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-21 21:42:00 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-21 21:43:56 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":66,"OrderNumber":"087091b2-8106-45a6-ade5-1f9c0598b61a","CustomerId":0,"UserId":2,"Status":"completed","Subtotal":372095,"Discount":50000,"TotalAmount":322095,"PromotionId":2,"Note":"TEST L\u1EA0I \u0110\u01A0N H\u00C0NG","CreatedAt":"2025-11-21T14:43:56.285Z","UpdatedAt":"2025-11-21T14:43:56.286Z"}
2025-11-21 21:43:56 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":66,"ProductId":50,"Quantity":1,"UnitPrice":328680,"TotalPrice":328680,"CreatedAt":"2025-11-21T14:43:56.286Z"},{"OrderId":66,"ProductId":48,"Quantity":1,"UnitPrice":43415,"TotalPrice":43415,"CreatedAt":"2025-11-21T14:43:56.286Z"}]
2025-11-21 21:43:56 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":50,"Quantity":1},{"ProductId":48,"Quantity":1}]
2025-11-21 21:43:56 | User:anonymous | Action:CREATE_Promotions | Entity:Promotions#apply | IP:::1 | Payload:{"PromotionId":2,"OrderId":66,"CustomerId":0}
2025-11-21 21:43:56 | User:anonymous | Action:CREATE_Payment | Entity:Payment#offlinepayment | IP:::1 | Payload:{"OrderId":66,"Amount":322095,"Method":"cash","TransactionRef":null,"Status":"completed","CreatedAt":"2025-11-21T14:43:56.694Z"}
2025-11-21 21:44:05 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-21 21:44:51 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":67,"OrderNumber":"0a9e8b12-098b-42e8-8230-1fb81e083892","CustomerId":9,"UserId":2,"Status":"pending","Subtotal":230083,"Discount":23008,"TotalAmount":207075,"PromotionId":1,"Note":"TEST MOMO L\u1EA0I L\u1EA6N N\u1EEEA","CreatedAt":"2025-11-21T14:44:51.159Z","UpdatedAt":"2025-11-21T14:44:51.159Z"}
2025-11-21 21:44:51 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":67,"ProductId":46,"Quantity":1,"UnitPrice":230083,"TotalPrice":230083,"CreatedAt":"2025-11-21T14:44:51.159Z"}]
2025-11-21 21:44:51 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":46,"Quantity":1}]
2025-11-21 21:44:51 | User:anonymous | Action:CREATE_Promotions | Entity:Promotions#apply | IP:::1 | Payload:{"PromotionId":1,"OrderId":67,"CustomerId":9}
2025-11-21 21:44:51 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":67,"Amount":207075,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-21 21:59:54 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-21 22:00:16 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":68,"OrderNumber":"6f4a3ace-7b1f-4d4c-b38f-432dcf1873fe","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"test thanh to\u00E1n ","CreatedAt":"2025-11-21T15:00:16.348Z","UpdatedAt":"2025-11-21T15:00:16.349Z"}
2025-11-21 22:00:16 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":68,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-21T15:00:16.349Z"}]
2025-11-21 22:00:16 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-21 22:00:16 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":68,"Amount":26616,"ReturnUrl":"http://localhost:5173/orders","NotifyUrl":"http://localhost:5099/api/payment/momo/ipn"}
2025-11-21 23:56:50 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-21 23:57:33 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":69,"OrderNumber":"3ab15dc6-a4b4-450b-859f-480a6291c9a4","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"test momo respone","CreatedAt":"2025-11-21T16:57:33.538Z","UpdatedAt":"2025-11-21T16:57:33.539Z"}
2025-11-21 23:57:33 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":69,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-21T16:57:33.539Z"}]
2025-11-21 23:57:33 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-21 23:59:47 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:::1 | Payload:{"raw":"[Empty Body]"}
2025-11-22 00:00:13 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:::1 | Payload:{"Id":70,"OrderNumber":"bca653fe-d008-4d78-b93f-60e9e42ab721","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"test momo response","CreatedAt":"2025-11-21T17:00:13.249Z","UpdatedAt":"2025-11-21T17:00:13.249Z"}
2025-11-22 00:00:13 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:::1 | Payload:[{"OrderId":70,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-21T17:00:13.249Z"}]
2025-11-22 00:00:13 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:::1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-22 00:00:13 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:::1 | Payload:{"OrderId":70,"Amount":26616,"ReturnUrl":"http://192.168.1.224:5173/orders","NotifyUrl":"http://192.168.1.224:5099/api/payment/momo/ipn"}
2025-11-22 00:05:35 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:127.0.0.1 | Payload:{"raw":"[Empty Body]"}
2025-11-22 00:06:17 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:127.0.0.1 | Payload:{"Id":71,"OrderNumber":"fb5ac12c-2008-447f-a0c9-7ece0442ae52","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"TEST MOMO L\u1EA6N 1","CreatedAt":"2025-11-21T17:06:17.494Z","UpdatedAt":"2025-11-21T17:06:17.494Z"}
2025-11-22 00:06:17 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:127.0.0.1 | Payload:[{"OrderId":71,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-21T17:06:17.494Z"}]
2025-11-22 00:06:17 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:127.0.0.1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-22 00:06:18 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:127.0.0.1 | Payload:{"OrderId":71,"Amount":26616,"ReturnUrl":"http://192.168.1.224:5173/orders","NotifyUrl":"http://192.168.1.224:5099/api/payment/momo/ipn"}
2025-11-22 00:13:53 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:127.0.0.1 | Payload:{"raw":"[Empty Body]"}
2025-11-22 00:14:24 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:127.0.0.1 | Payload:{"Id":72,"OrderNumber":"aa3e56c9-dcd7-43b0-b669-9c1fe5b916e1","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"MOMO 2","CreatedAt":"2025-11-21T17:14:23.981Z","UpdatedAt":"2025-11-21T17:14:23.982Z"}
2025-11-22 00:14:24 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:127.0.0.1 | Payload:[{"OrderId":72,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-21T17:14:23.982Z"}]
2025-11-22 00:14:24 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:127.0.0.1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-22 00:14:24 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:127.0.0.1 | Payload:{"OrderId":72,"Amount":26616,"ReturnUrl":"http://192.168.1.224:5173/orders","NotifyUrl":"http://192.168.1.224:5099/api/payment/momo/ipn"}
2025-11-22 00:23:57 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:127.0.0.1 | Payload:{"raw":"[Empty Body]"}
2025-11-22 00:24:01 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:127.0.0.1 | Payload:{"raw":"[Empty Body]"}
2025-11-22 00:24:37 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create | IP:127.0.0.1 | Payload:{"Id":73,"OrderNumber":"3b3201a1-1c1f-4ca1-8b60-665060f2c031","CustomerId":0,"UserId":2,"Status":"pending","Subtotal":26616,"Discount":0,"TotalAmount":26616,"PromotionId":null,"Note":"momo","CreatedAt":"2025-11-21T17:24:37.745Z","UpdatedAt":"2025-11-21T17:24:37.745Z"}
2025-11-22 00:24:38 | User:anonymous | Action:CREATE_Orderitem | Entity:Orderitem#create | IP:127.0.0.1 | Payload:[{"OrderId":73,"ProductId":43,"Quantity":1,"UnitPrice":26616,"TotalPrice":26616,"CreatedAt":"2025-11-21T17:24:37.745Z"}]
2025-11-22 00:24:38 | User:anonymous | Action:CREATE_Inventory | Entity:Inventory#reduce-multiple | IP:127.0.0.1 | Payload:[{"ProductId":43,"Quantity":1}]
2025-11-22 00:24:38 | User:anonymous | Action:CREATE_Payment | Entity:Payment#momo | IP:127.0.0.1 | Payload:{"OrderId":73,"Amount":26616,"ReturnUrl":"http://192.168.1.224:5173/orders","NotifyUrl":"http://192.168.1.224:5099/api/payment/momo/ipn"}
2025-11-22 00:45:38 | User:anonymous | Action:CREATE_Orders | Entity:Orders#create-temp | IP:127.0.0.1 | Payload:{"raw":"[Empty Body]"}
